Position,Season,Tm,Lg,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,FT/FGA,opp_eFG%,opp_TS%,opp_TOV%,opp_ORB%,opp_FT/FGA
0,2021-22,GSW,NBA,13,11,2,0.846,13.23,-2.87,10.36,101.4,112.6,99.6,0.554,0.585,13.8,23,0.182,0.497,0.527,14.7,17.9,0.163
0,2021-22,BRK,NBA,14,10,4,0.714,5,-1.53,3.47,99.4,109.1,104.1,0.553,0.586,14.1,16.5,0.188,0.484,0.516,11.3,22,0.157
0,2021-22,WAS,NBA,12,9,3,0.75,4.92,-0.1,4.82,97.8,108.3,103.4,0.523,0.56,12.9,20.1,0.191,0.476,0.516,11.1,21.4,0.182
0,2021-22,CHI,NBA,13,9,4,0.692,4.92,0.29,5.21,98.3,109.4,104.4,0.519,0.562,12.1,20.4,0.204,0.508,0.543,14.7,21.8,0.175
0,2021-22,CLE,NBA,14,9,5,0.643,2.21,0.38,2.59,96.8,106.9,104.6,0.522,0.555,14.9,23.7,0.182,0.5,0.528,13.7,26.4,0.137
0,2021-22,PHO,NBA,12,9,3,0.75,5.75,-2.29,3.46,101.9,109.9,104.3,0.54,0.57,12,19,0.164,0.51,0.54,14.6,22.4,0.16
0,2021-22,DEN,NBA,13,9,4,0.692,5.77,-0.41,5.36,96.5,107.6,101.6,0.529,0.552,13.3,21.5,0.133,0.504,0.533,14,20.3,0.158
0,2021-22,MIA,NBA,13,8,5,0.615,6.62,0.84,7.45,97.3,111.8,105.2,0.524,0.565,13.4,26.4,0.206,0.507,0.54,12.8,19.7,0.184
0,2021-22,UTA,NBA,13,8,5,0.615,6.62,-0.07,6.54,98.2,112.2,105.5,0.533,0.572,13.7,24.8,0.215,0.5,0.53,11.7,21.7,0.159
0,2021-22,PHI,NBA,14,8,6,0.571,4.14,-1.33,2.82,95.4,115.1,110.8,0.547,0.583,11.9,22.1,0.185,0.512,0.545,12,27.2,0.167
0,2021-22,LAL,NBA,14,8,6,0.571,-1.57,-1.66,-3.23,102.2,105.6,107.1,0.529,0.556,14.8,21.8,0.161,0.517,0.546,14.1,25.1,0.182
0,2021-22,LAC,NBA,13,8,5,0.615,5.23,-0.03,5.2,100.9,107.6,102.4,0.526,0.557,12.7,19.6,0.162,0.492,0.522,14.4,24,0.148
0,2021-22,CHO,NBA,15,8,7,0.533,-1.8,1.94,0.14,102.1,109.4,111.2,0.52,0.548,11.8,22.5,0.166,0.539,0.572,14.2,25.2,0.183
0,2021-22,DAL,NBA,12,8,4,0.667,-1.58,-0.53,-2.11,98,106.6,108.3,0.51,0.538,11.5,21.3,0.167,0.529,0.556,12.3,19.4,0.155
0,2021-22,NYK,NBA,13,7,6,0.538,0.46,-0.88,-0.42,97.3,110.8,110.4,0.525,0.557,12.2,23.2,0.181,0.518,0.552,12,23.6,0.167
0,2021-22,TOR,NBA,14,7,7,0.5,1.14,0.77,1.92,96.2,109.6,108.4,0.498,0.53,11.7,29.3,0.161,0.531,0.568,15.4,23,0.197
0,2021-22,BOS,NBA,13,6,7,0.462,0.69,0.5,1.2,96.8,106.4,105.7,0.504,0.539,12.8,22.4,0.176,0.504,0.543,13.6,22.7,0.198
0,2021-22,MEM,NBA,13,6,7,0.462,-6.54,2.08,-4.46,99,107.3,113.8,0.498,0.526,12.1,27.6,0.144,0.558,0.587,13.2,21.1,0.165
0,2021-22,MIL,NBA,14,6,8,0.429,-1.93,0.56,-1.37,99.2,107.9,109.8,0.522,0.548,12.3,21.6,0.151,0.519,0.549,12.1,23.8,0.163
0,2021-22,IND,NBA,14,6,8,0.429,0.64,2.19,2.83,98.1,109.6,108.9,0.543,0.567,14.3,23.7,0.144,0.513,0.55,12.1,22.5,0.195
0,2021-22,POR,NBA,14,6,8,0.429,-0.43,1.35,0.92,98.8,109.9,110.3,0.528,0.556,12.5,23.4,0.16,0.544,0.566,12.2,19.6,0.147
0,2021-22,ATL,NBA,14,5,9,0.357,-2.64,2.03,-0.61,98,109.7,112.4,0.509,0.542,11.4,25.2,0.162,0.537,0.57,11.5,19.6,0.168
0,2021-22,OKC,NBA,12,5,7,0.417,-8.17,0.87,-7.3,99.3,100.1,108.3,0.474,0.508,13.3,22.1,0.169,0.513,0.542,12,23.8,0.145
0,2021-22,SAC,NBA,13,5,8,0.385,-0.69,0.22,-0.47,100.9,109.3,110,0.524,0.56,12.6,21,0.189,0.515,0.544,11.2,24.3,0.169
0,2021-22,MIN,NBA,12,4,8,0.333,-4.42,-1.3,-5.72,99.7,103.9,108.3,0.489,0.518,14.1,26.2,0.141,0.518,0.557,15.8,30.1,0.207
0,2021-22,SAS,NBA,13,4,9,0.308,0.08,-2.59,-2.51,101.5,107.2,107.1,0.527,0.546,11.6,19.9,0.129,0.534,0.557,14.2,22.6,0.141
0,2021-22,ORL,NBA,13,3,10,0.231,-9.62,0.37,-9.25,98.4,100.6,110.4,0.488,0.521,14.6,22.3,0.169,0.52,0.551,11.7,23.7,0.177
0,2021-22,DET,NBA,12,3,9,0.25,-9.75,0.59,-9.16,98.1,99.5,109.4,0.468,0.506,14,23.6,0.184,0.557,0.586,15.7,21.5,0.183
0,2021-22,NOP,NBA,14,2,12,0.143,-9.57,-0.14,-9.71,98,104.2,114,0.486,0.522,13.9,25.8,0.167,0.548,0.583,12.1,22,0.196
0,2021-22,HOU,NBA,13,1,12,0.077,-9.23,0.04,-9.19,102.4,99.4,108.4,0.502,0.534,16.8,21,0.199,0.519,0.553,12.9,23.3,0.187
