Rk,Season,Tm,Lg,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,FT/FGA,opp_eFG%,opp_TS%,opp_TOV%,opp_ORB%,opp_FT/FGA
517,2003-04,POR,NBA,82,41,41,.500,-1.27,0.69,-0.58,86.2,103.7,105.1,.478,0.515,14.4,31.2,0.195,.482,0.518,13.3,30.0,0.186
518,2003-04,PHO,NBA,82,29,53,.354,-3.74,0.80,-2.94,92.6,101.4,105.5,.475,0.515,14.3,26.6,0.209,.482,0.529,14.7,30.1,0.240
519,2003-04,PHI,NBA,82,33,49,.402,-2.49,-0.46,-2.95,88.0,99.1,101.9,.456,0.505,15.5,28.2,0.242,.467,0.512,14.7,29.3,0.231
520,2003-04,ORL,NBA,82,21,61,.256,-7.02,-0.23,-7.25,90.8,102.7,110.4,.461,0.504,12.8,28.1,0.218,.502,0.540,12.7,31.3,0.214
521,2003-04,NYK*,NBA,82,39,43,.476,-1.48,-0.49,-1.97,89.5,101.7,103.3,.474,0.518,15.1,28.0,0.211,.461,0.514,13.2,27.2,0.259
522,2003-04,NOH*,NBA,82,41,41,.500,-0.10,-0.62,-0.72,89.1,102.3,102.4,.460,0.505,14.1,30.6,0.220,.476,0.518,15.0,28.7,0.218
523,2003-04,NJN*,NBA,82,47,35,.573,2.50,-0.63,1.88,89.4,100.8,98.0,.471,0.515,14.4,25.9,0.219,.460,0.506,15.7,26.1,0.221
524,2003-04,MIN*,NBA,82,58,24,.707,5.49,0.37,5.86,89.0,105.9,99.7,.486,0.528,12.4,26.7,0.207,.444,0.490,12.9,27.5,0.215
525,2003-04,MIL*,NBA,82,41,41,.500,1.06,-0.64,0.42,91.6,106.5,105.4,.477,0.528,12.7,27.6,0.255,.485,0.525,13.3,28.2,0.213
526,2003-04,MIA*,NBA,82,42,40,.512,0.52,-0.65,-0.13,88.0,102.2,101.7,.463,0.510,13.5,27.4,0.227,.463,0.516,14.5,26.6,0.260
527,2003-04,MEM*,NBA,82,50,32,.610,2.44,0.52,2.95,91.4,104.8,102.2,.479,0.522,13.9,29.5,0.234,.465,0.516,15.7,31.6,0.251
528,2003-04,LAL*,NBA,82,56,26,.683,3.90,0.45,4.35,92.3,105.5,101.3,.481,0.522,12.8,28.1,0.244,.471,0.515,14.3,26.7,0.222
529,2003-04,LAC,NBA,82,28,54,.341,-4.59,0.84,-3.74,91.0,103.5,108.5,.453,0.512,15.0,32.8,0.275,.494,0.536,12.9,30.0,0.231
530,2003-04,IND*,NBA,82,61,21,.744,5.76,-0.82,4.93,87.5,103.8,97.2,.471,0.520,14.1,28.5,0.243,.459,0.504,15.7,26.1,0.218
531,2003-04,HOU*,NBA,82,45,37,.549,1.73,0.55,2.28,87.8,100.9,99.0,.484,0.528,16.4,26.5,0.221,.447,0.495,13.1,25.5,0.233
532,2003-04,GSW,NBA,82,37,45,.451,-0.73,0.66,-0.07,89.8,103.0,103.8,.475,0.517,14.1,28.4,0.226,.476,0.517,13.3,27.9,0.211
533,2003-04,DET*,NBA,82,54,28,.659,5.84,-0.81,5.04,87.9,102.0,95.4,.461,0.511,14.7,30.1,0.247,.441,0.484,15.5,28.2,0.202
534,2003-04,DEN*,NBA,82,43,39,.524,1.07,0.58,1.65,93.3,103.9,102.7,.467,0.517,14.2,30.5,0.245,.481,0.522,15.6,30.7,0.221
535,2003-04,DAL*,NBA,82,52,30,.634,4.44,0.42,4.86,93.2,112.1,107.4,.495,0.536,11.1,31.4,0.204,.498,0.537,13.9,28.4,0.214
536,2003-04,CLE,NBA,82,35,47,.427,-2.62,-0.44,-3.07,90.8,101.4,104.2,.451,0.498,13.7,31.1,0.226,.469,0.513,12.3,27.0,0.221
537,2003-04,CHI,NBA,82,23,59,.280,-6.35,-0.33,-6.69,92.2,96.6,103.4,.446,0.486,14.9,28.1,0.197,.469,0.518,14.1,28.6,0.253
538,2003-04,BOS*,NBA,82,36,46,.439,-1.45,-0.54,-1.99,93.2,102.1,103.7,.486,0.532,15.4,25.2,0.245,.479,0.523,15.7,30.5,0.240
539,2003-04,ATL,NBA,82,28,54,.341,-4.65,-0.36,-5.00,90.8,101.0,106.1,.465,0.514,15.4,28.6,0.235,.476,0.522,13.1,29.5,0.234
540,2002-03,WAS,NBA,82,37,45,.451,-1.01,-0.46,-1.47,88.2,103.0,104.1,.460,0.513,13.0,27.3,0.253,.477,0.520,13.8,28.4,0.212
541,2002-03,UTA*,NBA,82,47,35,.573,2.39,0.37,2.76,89.3,105.5,102.8,.486,0.537,16.0,32.5,0.283,.468,0.519,15.2,29.8,0.256
542,2002-03,TOR,NBA,82,24,58,.293,-5.87,-0.23,-6.10,89.9,100.5,107.0,.458,0.497,13.6,28.2,0.203,.489,0.532,13.1,29.3,0.226
543,2002-03,SEA,NBA,82,40,42,.488,-0.12,0.49,0.37,88.0,103.7,103.9,.472,0.512,12.8,28.1,0.201,.484,0.524,14.3,28.2,0.210
544,2002-03,SAS*,NBA,82,60,22,.732,5.41,0.23,5.65,90.0,105.6,99.7,.497,0.541,15.1,28.8,0.253,.453,0.496,14.2,28.7,0.199
545,2002-03,SAC*,NBA,82,59,23,.720,6.50,0.18,6.68,95.4,105.9,99.1,.499,0.535,13.3,25.6,0.196,.446,0.489,13.6,29.4,0.204
546,2002-03,POR*,NBA,82,50,32,.610,2.61,0.36,2.97,89.4,105.5,102.6,.489,0.531,14.5,30.2,0.223,.483,0.522,14.9,27.7,0.194
547,2002-03,PHO*,NBA,82,44,38,.537,1.13,0.43,1.57,91.5,103.7,102.5,.473,0.514,13.7,29.7,0.211,.470,0.516,14.8,29.7,0.222
548,2002-03,PHI*,NBA,82,48,34,.585,2.30,-0.55,1.76,91.4,105.0,102.5,.466,0.520,13.7,30.3,0.263,.488,0.534,16.2,27.3,0.243
549,2002-03,ORL*,NBA,82,42,40,.512,0.13,-0.53,-0.39,93.1,105.2,105.0,.478,0.526,13.3,27.0,0.239,.486,0.534,15.1,28.9,0.250
550,2002-03,NYK,NBA,82,37,45,.451,-1.35,-0.26,-1.61,90.7,104.7,106.2,.486,0.528,13.4,24.4,0.196,.485,0.535,13.7,28.2,0.261
551,2002-03,NOH*,NBA,82,47,35,.573,2.11,-0.59,1.52,89.4,103.9,101.6,.465,0.511,13.9,31.7,0.219,.464,0.511,14.0,26.9,0.226
552,2002-03,NJN*,NBA,82,49,33,.598,5.22,-0.80,4.42,91.6,103.8,98.1,.468,0.518,13.8,28.7,0.252,.460,0.505,15.7,26.9,0.225
553,2002-03,MIN*,NBA,82,51,31,.622,2.07,0.39,2.46,91.9,106.1,103.8,.488,0.528,12.9,28.2,0.206,.472,0.512,12.7,27.1,0.203
554,2002-03,MIL*,NBA,82,42,40,.512,0.23,-0.48,-0.24,90.4,108.8,108.6,.500,0.543,12.2,25.6,0.222,.494,0.537,13.5,30.1,0.237
555,2002-03,MIA,NBA,82,25,57,.305,-5.05,-0.08,-5.13,87.8,96.7,102.4,.439,0.483,13.8,26.8,0.198,.470,0.520,14.1,26.1,0.257
556,2002-03,MEM,NBA,82,28,54,.341,-3.23,0.63,-2.60,92.7,103.9,107.3,.487,0.526,14.2,27.0,0.212,.491,0.529,13.4,31.3,0.197
557,2002-03,LAL*,NBA,82,50,32,.610,2.33,0.38,2.71,92.5,107.2,104.7,.486,0.528,13.3,30.2,0.228,.477,0.524,13.4,27.3,0.241
558,2002-03,LAC,NBA,82,27,55,.329,-4.12,0.68,-3.45,91.3,102.3,106.8,.467,0.516,14.8,29.1,0.252,.481,0.525,13.1,29.8,0.222
559,2002-03,IND*,NBA,82,48,34,.585,3.49,-0.70,2.79,91.6,104.6,100.8,.469,0.522,13.7,29.0,0.263,.458,0.506,14.3,27.7,0.228
560,2002-03,HOU,NBA,82,43,39,.524,1.48,0.42,1.89,88.8,104.3,102.6,.474,0.522,14.8,30.3,0.243,.462,0.506,12.6,27.6,0.209
561,2002-03,GSW,NBA,82,38,44,.463,-1.13,0.54,-0.60,94.2,108.3,109.5,.472,0.526,13.9,35.0,0.267,.482,0.525,12.2,32.1,0.220
562,2002-03,DET*,NBA,82,50,32,.610,3.68,-0.71,2.97,86.8,104.1,99.9,.473,0.523,13.3,25.9,0.248,.461,0.506,13.9,26.0,0.225
563,2002-03,DEN,NBA,82,17,65,.207,-8.28,0.87,-7.41,91.0,92.2,101.3,.428,0.469,17.1,31.3,0.198,.477,0.533,16.5,26.7,0.290
564,2002-03,DAL*,NBA,82,60,22,.732,7.78,0.12,7.90,92.5,110.7,102.3,.498,0.543,10.9,25.4,0.213,.473,0.515,14.8,29.1,0.221
565,2002-03,CLE,NBA,82,17,65,.207,-9.62,0.04,-9.59,94.0,96.5,106.7,.444,0.491,16.4,31.0,0.223,.484,0.534,13.0,26.8,0.252
566,2002-03,CHI,NBA,82,30,52,.366,-5.13,-0.17,-5.31,93.5,100.2,105.6,.471,0.512,15.4,27.7,0.217,.470,0.521,13.3,30.5,0.263
567,2002-03,BOS*,NBA,82,44,38,.537,-0.39,-0.36,-0.75,90.9,101.2,101.6,.470,0.514,13.4,23.6,0.227,.471,0.518,15.1,27.5,0.242
568,2002-03,ATL,NBA,82,35,47,.427,-3.56,-0.31,-3.87,91.0,102.3,106.1,.476,0.527,15.7,27.9,0.248,.469,0.514,12.1,29.6,0.222
569,2001-02,WAS,NBA,82,37,45,.451,-1.40,-0.17,-1.58,88.3,104.8,106.4,.464,0.508,12.5,30.7,0.214,.484,0.526,13.0,28.6,0.214
570,2001-02,UTA*,NBA,82,44,38,.537,0.89,0.32,1.21,90.3,105.6,104.6,.472,0.529,15.4,33.5,0.291,.484,0.539,15.9,28.3,0.286
571,2001-02,TOR*,NBA,82,42,40,.512,-0.44,-0.27,-0.71,88.8,102.6,103.1,.463,0.501,13.6,31.4,0.189,.471,0.518,14.7,29.9,0.237
572,2001-02,SEA*,NBA,82,45,37,.549,3.02,0.22,3.24,89.0,108.9,105.6,.505,0.540,13.2,29.4,0.189,.485,0.524,14.5,31.9,0.206
573,2001-02,SAS*,NBA,82,58,24,.707,6.21,0.07,6.28,90.0,106.5,99.7,.492,0.539,13.8,27.2,0.262,.453,0.495,13.7,28.1,0.189
574,2001-02,SAC*,NBA,82,61,21,.744,7.61,0.00,7.61,95.6,109.0,101.1,.497,0.539,12.4,27.9,0.231,.467,0.504,13.6,28.3,0.185
575,2001-02,POR*,NBA,82,49,33,.598,2.99,0.22,3.21,89.3,107.4,104.0,.485,0.528,13.5,31.8,0.218,.489,0.527,14.2,26.7,0.202
576,2001-02,PHO,NBA,82,36,46,.439,-0.68,0.39,-0.30,91.4,103.3,104.0,.472,0.510,13.6,30.1,0.180,.476,0.520,14.4,29.8,0.227
577,2001-02,PHI*,NBA,82,43,39,.524,1.60,-0.33,1.27,88.9,102.1,100.3,.452,0.507,14.6,31.7,0.255,.460,0.503,14.2,27.9,0.208
578,2001-02,ORL*,NBA,82,44,38,.537,1.57,-0.32,1.25,93.2,107.0,105.3,.493,0.533,12.6,26.3,0.210,.486,0.526,14.4,30.8,0.215
579,2001-02,NYK,NBA,82,30,52,.366,-3.99,-0.16,-4.15,89.7,101.5,105.9,.468,0.514,14.0,25.6,0.216,.479,0.525,12.9,28.1,0.236
580,2001-02,NJN*,NBA,82,52,30,.634,4.16,-0.49,3.67,91.8,104.0,99.5,.476,0.515,13.4,29.2,0.206,.459,0.503,14.9,28.4,0.213
581,2001-02,MIN*,NBA,82,50,32,.610,3.38,0.20,3.58,90.5,109.0,105.3,.490,0.532,12.5,31.3,0.203,.482,0.523,12.7,26.3,0.218
582,2001-02,MIL,NBA,82,41,41,.500,-0.22,-0.40,-0.62,90.2,106.9,107.1,.507,0.544,13.6,25.6,0.201,.477,0.520,12.0,29.1,0.217
583,2001-02,MIA,NBA,82,36,46,.439,-1.54,-0.31,-1.84,87.4,98.5,100.2,.463,0.501,14.6,26.6,0.194,.455,0.504,13.6,26.0,0.249
584,2001-02,MEM,NBA,82,23,59,.280,-7.44,0.70,-6.74,91.1,98.2,106.3,.462,0.501,15.4,27.8,0.204,.486,0.524,13.7,32.0,0.197
585,2001-02,LAL*,NBA,82,58,24,.707,7.12,0.03,7.15,92.1,109.4,101.7,.498,0.534,11.8,28.8,0.218,.453,0.502,13.0,28.0,0.233
586,2001-02,LAC,NBA,82,39,43,.476,-0.46,0.38,-0.09,90.1,105.5,106.0,.476,0.519,13.8,31.3,0.225,.477,0.515,12.1,30.1,0.194
587,2001-02,IND*,NBA,82,42,40,.512,0.27,-0.34,-0.07,91.9,104.1,103.8,.477,0.527,14.2,27.0,0.253,.469,0.514,13.2,29.0,0.227
588,2001-02,HOU,NBA,82,28,54,.341,-4.89,0.58,-4.31,88.2,103.1,108.6,.465,0.507,13.4,29.0,0.211,.491,0.525,11.5,30.2,0.178
589,2001-02,GSW,NBA,82,21,61,.256,-5.40,0.61,-4.80,94.5,102.8,108.5,.452,0.499,14.7,35.3,0.242,.488,0.533,12.9,30.6,0.232
590,2001-02,DET*,NBA,82,50,32,.610,2.13,-0.45,1.69,90.0,104.8,102.4,.497,0.540,14.3,24.4,0.235,.474,0.516,14.8,29.5,0.206
591,2001-02,DEN,NBA,82,27,55,.329,-5.82,0.63,-5.19,90.4,101.4,107.8,.455,0.495,13.6,30.6,0.190,.492,0.537,13.6,30.1,0.245
592,2001-02,DAL*,NBA,82,57,25,.695,4.26,0.16,4.41,92.8,112.2,107.7,.507,0.553,11.3,26.1,0.232,.485,0.530,12.9,29.3,0.239
593,2001-02,CLE,NBA,82,29,53,.354,-3.33,-0.19,-3.52,90.3,104.6,108.2,.477,0.524,13.8,28.9,0.232,.493,0.534,12.3,27.2,0.226
594,2001-02,CHI,NBA,82,21,61,.256,-8.54,0.02,-8.52,90.5,98.2,107.6,.456,0.499,14.6,26.6,0.218,.497,0.540,13.7,28.6,0.239
595,2001-02,CHH*,NBA,82,44,38,.537,0.96,-0.40,0.57,89.7,104.3,103.3,.466,0.513,13.3,30.6,0.238,.465,0.512,13.3,27.8,0.226
596,2001-02,BOS*,NBA,82,49,33,.598,2.21,-0.46,1.75,92.5,103.4,101.0,.476,0.520,12.8,24.1,0.223,.464,0.515,15.1,27.1,0.245
597,2001-02,ATL,NBA,82,33,49,.402,-4.23,-0.18,-4.41,91.9,101.8,106.4,.471,0.517,14.6,27.5,0.225,.495,0.535,14.1,29.1,0.218
598,2000-01,WAS,NBA,82,19,63,.232,-6.67,-0.08,-6.75,92.7,100.6,107.8,.460,0.514,15.7,29.7,0.264,.503,0.545,14.1,28.2,0.236
599,2000-01,VAN,NBA,82,23,59,.280,-5.73,0.79,-4.94,91.7,99.6,105.8,.464,0.510,14.9,26.1,0.223,.491,0.527,13.8,30.2,0.194
600,2000-01,UTA*,NBA,82,53,29,.646,4.70,0.31,5.00,89.8,107.6,102.4,.497,0.546,15.1,30.2,0.273,.473,0.531,15.6,26.8,0.301
601,2000-01,TOR*,NBA,82,47,35,.573,2.26,-0.57,1.69,90.9,105.9,103.4,.468,0.510,12.1,30.8,0.213,.476,0.518,13.3,26.8,0.212
602,2000-01,SEA,NBA,82,44,38,.537,0.02,0.52,0.55,91.6,105.6,105.6,.491,0.530,14.3,29.1,0.219,.488,0.526,13.9,30.2,0.199
603,2000-01,SAS*,NBA,82,58,24,.707,7.76,0.16,7.92,89.6,106.6,98.0,.496,0.541,13.6,27.1,0.267,.444,0.483,12.9,26.3,0.182
604,2000-01,SAC*,NBA,82,55,27,.671,5.82,0.25,6.07,94.4,105.6,99.6,.484,0.529,13.4,27.2,0.230,.460,0.498,14.5,29.3,0.181
605,2000-01,POR*,NBA,82,50,32,.610,4.20,0.33,4.52,89.1,106.5,101.8,.497,0.539,14.8,30.0,0.225,.470,0.513,14.3,27.6,0.223
606,2000-01,PHO*,NBA,82,51,31,.622,2.21,0.42,2.63,93.1,100.3,98.0,.460,0.506,14.1,27.3,0.221,.460,0.512,16.3,26.3,0.252
607,2000-01,PHI*,NBA,82,56,26,.683,4.28,-0.65,3.64,90.6,103.6,98.9,.468,0.518,14.7,31.2,0.262,.460,0.499,14.5,27.5,0.186
608,2000-01,ORL*,NBA,82,43,39,.524,0.99,-0.60,0.39,93.2,103.2,102.1,.474,0.513,13.8,29.1,0.215,.464,0.519,15.6,30.2,0.290
609,2000-01,NYK*,NBA,82,48,34,.585,2.63,-0.65,1.98,86.7,101.2,98.2,.476,0.523,14.6,24.2,0.222,.453,0.501,14.7,25.7,0.240
610,2000-01,NJN,NBA,82,26,56,.317,-5.05,-0.25,-5.30,91.8,100.0,105.5,.452,0.504,13.9,25.7,0.249,.488,0.536,14.9,30.0,0.258
611,2000-01,MIN*,NBA,82,47,35,.573,1.35,0.46,1.81,91.8,105.2,103.7,.482,0.523,13.0,28.6,0.199,.478,0.522,14.2,28.1,0.238
612,2000-01,MIL*,NBA,82,52,30,.634,3.88,-0.74,3.14,92.1,108.8,104.6,.499,0.542,12.8,28.1,0.217,.473,0.523,14.4,28.9,0.253
613,2000-01,MIA*,NBA,82,50,32,.610,2.29,-0.57,1.73,87.1,101.1,98.5,.469,0.515,13.7,24.3,0.227,.460,0.503,15.3,27.3,0.214
614,2000-01,LAL*,NBA,82,56,26,.683,3.38,0.37,3.74,91.7,108.4,104.8,.498,0.535,13.3,31.1,0.238,.468,0.515,12.2,27.5,0.234
615,2000-01,LAC,NBA,82,31,51,.378,-2.89,0.66,-2.23,89.6,101.3,104.5,.476,0.514,14.9,28.3,0.221,.466,0.509,12.0,28.9,0.217
616,2000-01,IND*,NBA,82,41,41,.500,-0.20,-0.57,-0.77,89.4,102.0,102.2,.471,0.519,14.5,27.0,0.239,.452,0.501,12.8,28.6,0.235
617,2000-01,HOU,NBA,82,45,37,.549,2.29,0.42,2.71,90.4,106.7,104.2,.492,0.538,14.0,27.5,0.244,.475,0.515,12.6,28.1,0.206
618,2000-01,GSW,NBA,82,17,65,.207,-9.05,0.94,-8.11,94.1,97.8,107.4,.429,0.470,13.9,33.3,0.199,.504,0.546,15.0,30.3,0.227
619,2000-01,DET,NBA,82,32,50,.390,-1.70,-0.39,-2.08,94.7,100.0,101.8,.453,0.498,14.2,29.3,0.234,.466,0.511,14.0,27.8,0.233
620,2000-01,DEN,NBA,82,40,42,.488,-2.46,0.64,-1.83,92.6,103.7,106.3,.470,0.511,12.8,28.3,0.211,.476,0.519,12.1,28.2,0.223
621,2000-01,DAL*,NBA,82,53,29,.646,4.28,0.32,4.61,93.2,107.1,102.6,.498,0.544,13.1,24.1,0.231,.467,0.514,14.2,29.3,0.244
622,2000-01,CLE,NBA,82,30,52,.366,-4.24,-0.23,-4.48,91.2,100.3,104.9,.459,0.509,15.4,29.7,0.239,.477,0.526,14.1,28.9,0.248
623,2000-01,CHI,NBA,82,15,67,.183,-9.10,0.01,-9.09,89.3,97.2,107.3,.450,0.495,15.1,26.6,0.220,.499,0.543,14.3,29.7,0.254
624,2000-01,CHH*,NBA,82,46,36,.561,2.10,-0.65,1.45,89.4,101.8,99.5,.457,0.506,13.7,29.8,0.246,.456,0.502,14.1,25.5,0.222
625,2000-01,BOS,NBA,82,36,46,.439,-2.13,-0.26,-2.40,92.6,101.4,103.7,.473,0.521,14.7,25.3,0.250,.493,0.540,16.0,27.3,0.256
626,2000-01,ATL,NBA,82,25,57,.305,-5.21,-0.34,-5.55,91.9,98.7,104.3,.456,0.500,15.5,28.9,0.206,.472,0.522,13.8,29.2,0.249
627,1999-00,WAS,NBA,82,29,53,.354,-3.28,-0.19,-3.47,92.7,103.5,107.0,.476,0.521,14.8,30.6,0.234,.489,0.538,13.9,28.3,0.273
628,1999-00,VAN,NBA,82,22,60,.268,-5.62,0.52,-5.10,91.0,102.3,108.5,.474,0.524,15.8,30.1,0.247,.502,0.545,14.1,29.4,0.231
629,1999-00,UTA*,NBA,82,55,27,.671,4.46,0.05,4.52,89.6,107.3,102.3,.490,0.540,14.3,29.5,0.260,.477,0.525,15.0,26.8,0.256
630,1999-00,TOR*,NBA,82,45,37,.549,-0.16,-0.30,-0.46,92.5,104.7,104.9,.464,0.511,12.7,30.1,0.230,.480,0.528,14.2,28.2,0.247
631,1999-00,SEA*,NBA,82,45,37,.549,0.95,0.22,1.17,93.4,105.6,104.6,.487,0.520,12.9,28.5,0.196,.483,0.520,14.0,30.4,0.193
632,1999-00,SAS*,NBA,82,53,29,.646,5.94,-0.02,5.92,90.8,105.0,98.6,.488,0.535,14.3,27.8,0.258,.451,0.491,13.5,27.0,0.188
633,1999-00,SAC*,NBA,82,44,38,.537,2.91,0.12,3.04,99.3,105.0,102.1,.486,0.526,13.9,27.7,0.209,.479,0.518,15.1,30.3,0.198
634,1999-00,POR*,NBA,82,59,23,.720,6.40,-0.04,6.36,89.9,107.9,100.8,.501,0.546,14.5,30.3,0.240,.461,0.502,13.8,27.6,0.217
635,1999-00,PHO*,NBA,82,53,29,.646,5.22,0.02,5.24,94.0,104.6,99.0,.491,0.532,15.2,29.3,0.217,.454,0.503,15.7,29.5,0.245
636,1999-00,PHI*,NBA,82,49,33,.598,1.34,-0.32,1.02,92.7,101.5,100.0,.457,0.501,14.2,31.4,0.233,.466,0.512,16.2,30.1,0.229
637,1999-00,ORL,NBA,82,41,41,.500,0.68,-0.26,0.43,97.3,102.4,101.7,.473,0.516,15.4,31.6,0.224,.476,0.519,15.9,30.1,0.226
638,1999-00,NYK*,NBA,82,50,32,.610,1.46,-0.16,1.30,89.2,102.5,100.9,.482,0.527,14.4,24.7,0.221,.455,0.506,13.6,26.9,0.251
639,1999-00,NJN,NBA,82,31,51,.378,-1.04,-0.15,-1.18,92.5,105.1,106.3,.468,0.517,12.6,28.1,0.233,.491,0.532,15.2,32.8,0.223
640,1999-00,MIN*,NBA,82,50,32,.610,2.52,0.14,2.67,91.8,106.1,103.4,.485,0.525,12.9,29.4,0.200,.474,0.522,14.0,27.0,0.250
641,1999-00,MIL*,NBA,82,42,40,.512,0.22,-0.28,-0.06,92.7,108.2,107.9,.494,0.539,13.8,30.0,0.228,.496,0.543,14.6,30.4,0.254
642,1999-00,MIA*,NBA,82,52,30,.634,3.11,-0.36,2.75,89.7,104.5,101.0,.495,0.533,14.5,28.2,0.208,.453,0.500,13.3,27.1,0.229
643,1999-00,LAL*,NBA,82,67,15,.817,8.55,-0.14,8.41,93.3,107.3,98.2,.484,0.525,12.7,30.6,0.241,.443,0.490,13.4,26.9,0.222
644,1999-00,LAC,NBA,82,15,67,.183,-11.52,0.80,-10.73,93.9,97.8,110.1,.458,0.499,14.9,26.1,0.202,.507,0.546,13.1,30.4,0.220
645,1999-00,IND*,NBA,82,56,26,.683,4.60,-0.45,4.15,93.1,108.5,103.6,.503,0.552,13.3,24.9,0.245,.469,0.509,12.6,28.5,0.197
646,1999-00,HOU,NBA,82,34,48,.415,-0.87,0.30,-0.57,94.2,104.8,105.7,.494,0.536,15.8,29.1,0.236,.481,0.522,12.5,28.4,0.201
647,1999-00,GSW,NBA,82,19,63,.232,-8.27,0.64,-7.63,95.4,99.8,108.4,.444,0.484,13.9,32.6,0.210,.499,0.546,14.6,30.9,0.259
648,1999-00,DET*,NBA,82,42,40,.512,1.44,-0.31,1.13,95.7,107.3,105.8,.492,0.548,14.3,26.8,0.295,.499,0.544,15.4,28.4,0.249
649,1999-00,DEN,NBA,82,35,47,.427,-2.12,0.36,-1.76,94.7,103.5,105.8,.476,0.517,14.0,29.2,0.222,.479,0.524,13.0,28.4,0.235
650,1999-00,DAL,NBA,82,40,42,.488,-0.57,0.29,-0.29,94.9,106.6,107.2,.490,0.532,12.6,25.5,0.200,.488,0.527,14.2,33.9,0.210
651,1999-00,CLE,NBA,82,32,50,.390,-3.50,-0.14,-3.64,95.7,100.4,104.0,.468,0.516,15.6,28.1,0.245,.474,0.529,15.1,28.8,0.275
652,1999-00,CHI,NBA,82,17,65,.207,-9.40,0.17,-9.23,89.4,94.2,104.6,.443,0.490,18.0,29.9,0.240,.484,0.528,14.5,30.1,0.240
653,1999-00,CHH*,NBA,82,49,33,.598,2.67,-0.34,2.33,93.9,104.3,101.4,.475,0.530,13.7,25.7,0.285,.478,0.516,14.6,26.8,0.198
654,1999-00,BOS,NBA,82,35,47,.427,-0.76,-0.24,-1.00,94.6,104.8,105.6,.474,0.520,13.8,30.4,0.236,.498,0.552,15.8,26.2,0.306
655,1999-00,ATL,NBA,82,28,54,.341,-5.38,-0.04,-5.41,91.7,102.0,107.9,.460,0.503,14.1,31.7,0.217,.481,0.521,11.3,29.0,0.196
656,1998-99,WAS,NBA,50,18,32,.360,-2.24,0.49,-1.75,89.8,101.2,103.7,.468,0.507,14.1,28.2,0.213,.474,0.525,15.1,30.5,0.273
657,1998-99,VAN,NBA,50,8,42,.160,-8.66,-0.28,-8.94,89.0,98.4,107.9,.447,0.498,16.0,30.9,0.263,.492,0.538,14.7,33.1,0.261
658,1998-99,UTA*,NBA,50,37,13,.740,6.52,-0.99,5.54,87.0,105.8,98.4,.485,0.545,16.0,30.0,0.320,.441,0.489,14.4,29.6,0.242
659,1998-99,TOR,NBA,50,23,27,.460,-1.64,0.33,-1.32,88.8,102.0,103.9,.450,0.504,15.0,33.8,0.257,.473,0.520,14.8,29.8,0.258
660,1998-99,SEA,NBA,50,25,25,.500,-1.08,-0.35,-1.43,89.6,105.0,106.2,.481,0.519,14.3,31.9,0.232,.489,0.527,14.1,31.4,0.213
661,1998-99,SAS*,NBA,50,37,13,.740,8.06,-0.94,7.12,88.6,104.0,95.0,.479,0.523,14.6,30.4,0.259,.423,0.464,13.8,30.5,0.198
662,1998-99,SAC*,NBA,50,27,23,.540,-0.42,-0.47,-0.89,96.0,102.7,103.1,.479,0.514,14.7,30.6,0.205,.471,0.504,13.7,32.3,0.176
663,1998-99,POR*,NBA,50,35,15,.700,6.36,-0.69,5.67,89.2,104.8,97.7,.473,0.521,14.5,31.8,0.253,.445,0.492,14.9,28.2,0.233
664,1998-99,PHO*,NBA,50,27,23,.540,2.26,-0.11,2.15,90.0,105.8,103.3,.481,0.526,13.0,28.4,0.231,.485,0.521,15.4,30.2,0.216
665,1998-99,PHI*,NBA,50,28,22,.560,2.06,0.50,2.56,88.6,99.9,97.6,.439,0.494,15.3,34.2,0.276,.454,0.503,17.1,30.2,0.249
666,1998-99,ORL*,NBA,50,33,17,.660,2.60,0.51,3.11,88.8,100.3,97.4,.456,0.498,15.4,32.6,0.222,.473,0.506,16.7,29.2,0.181
667,1998-99,NYK*,NBA,50,27,23,.540,1.02,0.43,1.45,86.9,98.6,97.5,.463,0.509,15.9,27.9,0.241,.434,0.488,14.9,29.0,0.258
668,1998-99,NJN,NBA,50,16,34,.320,-3.78,0.58,-3.20,91.5,99.5,103.6,.434,0.485,13.7,31.1,0.231,.481,0.524,15.2,30.3,0.238
669,1998-99,MIN*,NBA,50,25,25,.500,0.38,-0.55,-0.17,91.0,101.9,101.5,.439,0.481,11.7,32.5,0.196,.467,0.518,15.8,29.8,0.276
670,1998-99,MIL*,NBA,50,28,22,.560,1.66,0.00,1.66,87.0,104.9,103.0,.489,0.530,14.3,29.0,0.222,.463,0.518,16.0,32.4,0.275
671,1998-99,MIA*,NBA,50,33,17,.660,4.96,0.15,5.11,84.8,104.7,98.9,.494,0.540,15.3,27.3,0.260,.439,0.486,13.6,29.0,0.226
672,1998-99,LAL*,NBA,50,31,19,.620,3.02,-0.35,2.68,91.6,107.6,104.3,.498,0.538,14.1,30.6,0.261,.468,0.516,13.3,29.8,0.267
673,1998-99,LAC,NBA,50,9,41,.180,-8.82,-0.12,-8.94,89.5,100.0,109.7,.454,0.497,14.9,30.6,0.220,.503,0.552,14.8,33.1,0.279
